node_index,zone_id,is_centroid
299,238,0
300,238,0
301,238,0
302,238,0
303,238,0
304,238,0
305,238,0
306,238,0
307,238,0
308,238,0
309,238,0
310,238,0
311,238,0
312,238,0
313,238,0
314,238,0
315,238,0
316,238,0
317,238,0
318,238,0
319,238,0
320,13,0
321,13,0
322,13,0
323,13,0
324,261,0
325,13,0
326,13,0
327,13,0
328,13,0
329,261,0
330,13,0
331,13,0
332,231,0
333,13,0
334,231,0
335,261,0
336,261,0
337,261,0
338,261,0
339,261,0
340,261,0
341,261,0
342,261,0
343,261,0
344,261,0
345,87,0
346,261,0
347,261,0
348,87,0
349,87,1
350,261,0
351,261,0
352,87,0
353,87,0
354,261,0
355,87,0
356,261,0
357,87,0
358,87,0
359,87,0
360,209,0
361,87,0
362,87,0
363,87,0
364,74,0
365,74,0
366,74,0
367,74,0
368,74,0
369,74,0
370,74,1
371,74,0
372,74,0
373,194,0
374,194,0
375,194,0
376,246,0
377,246,0
378,246,0
379,246,0
380,246,0
381,246,0
382,68,0
383,246,0
384,246,0
385,209,0
386,209,0
387,45,0
388,209,0
389,232,0
390,209,0
391,209,0
392,209,0
393,209,0
394,232,0
395,209,0
396,209,0
397,209,0
398,45,0
399,45,0
400,209,0
401,209,0
402,87,0
403,209,0
404,209,0
405,209,0
406,45,0
407,45,0
408,238,0
409,238,0
410,238,1
411,238,0
412,238,0
413,74,0
414,137,0
415,137,0
416,137,0
417,137,0
418,233,0
419,137,0
420,239,0
421,233,0
422,170,0
423,170,0
424,233,0
425,233,0
426,170,0
427,170,0
428,170,0
429,233,0
430,233,0
431,233,0
432,170,0
433,170,0
434,170,0
435,170,0
436,170,0
437,170,0
438,170,0
439,170,0
440,170,0
441,170,0
442,170,0
443,137,0
444,232,0
445,232,0
446,232,0
447,232,0
448,232,0
449,232,0
450,232,0
451,232,0
452,4,0
453,4,0
454,232,0
455,4,0
456,224,0
457,232,0
458,4,0
459,224,0
460,137,0
461,239,0
462,120,0
463,244,0
464,120,0
465,120,0
466,244,0
467,244,0
468,244,0
469,120,0
470,120,0
471,244,0
472,244,0
473,244,0
474,244,0
475,244,0
476,120,0
477,120,0
478,120,0
479,120,0
480,120,0
481,120,0
482,120,0
483,244,0
484,244,0
485,244,0
486,74,0
487,74,0
488,74,0
489,74,0
490,74,0
491,74,0
492,74,0
493,74,0
494,74,0
495,74,0
496,74,0
497,74,0
498,74,0
499,74,0
500,74,0
501,74,0
502,74,0
503,74,0
504,74,0
505,232,0
506,232,0
507,232,0
508,232,0
509,232,0
510,232,0
511,232,0
512,232,0
513,232,0
514,45,0
515,232,0
516,209,0
517,45,0
518,125,0
519,125,0
520,125,0
521,125,0
522,125,0
523,125,0
524,125,0
525,125,0
526,125,0
527,4,0
528,4,0
529,229,0
530,229,0
531,229,0
532,229,0
533,229,0
534,229,0
535,229,0
536,229,0
537,229,0
538,140,0
539,229,0
540,162,0
541,229,0
542,229,0
543,229,0
544,140,0
545,141,0
546,140,0
547,140,0
548,141,0
549,141,0
550,141,0
551,141,0
552,141,0
553,141,0
554,141,0
555,140,0
556,237,0
557,141,0
558,43,0
559,43,0
560,43,0
561,163,0
562,142,1
563,43,0
564,163,0
565,163,0
566,142,0
567,43,0
568,163,0
