sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
900,12,900,1800,0,0,0,,
900,13,900,1800,1,1,0,,
900,24,900,1800,1,2,0,,
900,41,900,1800,1,1,0,,
900,42,900,1800,3,3,0,,
900,43,900,1800,0,0,0,,
900,45,900,1800,2,2,0,,
900,50,900,1800,1,1,0,,
900,74,900,1800,0,0,0,,
900,75,900,1800,0,0,0,,
900,90,900,1800,0,0,0,,
900,113,900,1800,1,1,0,,
900,116,900,1800,2,2,0,,
900,120,900,1800,2,2,0,,
900,125,900,1800,1,1,0,,
900,127,900,1800,1,1,0,,
900,128,900,1800,0,0,0,,
900,152,900,1800,0,1,0,,
900,153,900,1800,0,0,0,,
900,166,900,1800,1,4,0,,
900,194,900,1800,1,1,0,,
900,224,900,1800,0,0,0,,
900,229,900,1800,1,1,0,,
900,232,900,1800,0,0,0,,
900,243,900,1800,3,5,0,,
900,244,900,1800,2,2,0,,
900,261,900,1800,0,0,0,,
900,263,900,1800,1,1,0,,
1200,262,1200,2100,1,1,0,0.0,
1200,141,1200,2100,0,0,0,2.0,
1200,142,1200,2100,2,5,0,1.0,
1200,143,1200,2100,1,1,0,1.0,
1200,144,1200,2100,1,1,0,0.0,
1200,148,1200,2100,1,1,0,1.0,
1200,158,1200,2100,1,1,0,2.0,
1200,161,1200,2100,1,1,0,1.0,
1200,162,1200,2100,0,0,0,1.0,
1200,163,1200,2100,0,0,0,1.0,
1200,164,1200,2100,0,0,0,4.0,
1200,166,1200,2100,0,0,0,0.0,
1200,170,1200,2100,1,1,0,3.0,
1200,43,1200,2100,0,0,0,1.0,
1200,48,1200,2100,2,2,0,4.0,
1200,50,1200,2100,1,1,0,0.0,
1200,186,1200,2100,0,0,0,1.0,
1200,79,1200,2100,0,2,0,3.0,
1200,87,1200,2100,2,6,0,1.0,
1200,90,1200,2100,0,0,0,1.0,
1200,100,1200,2100,0,0,0,2.0,
1200,229,1200,2100,1,1,0,3.0,
1200,230,1200,2100,0,0,0,2.0,
1200,234,1200,2100,0,0,0,2.0,
1200,107,1200,2100,1,1,0,4.0,
1200,236,1200,2100,2,3,0,1.0,
1200,237,1200,2100,1,1,0,0.0,
1200,238,1200,2100,0,3,0,2.0,
1200,239,1200,2100,1,5,0,1.0,
1200,113,1200,2100,1,2,0,2.0,
1200,114,1200,2100,0,0,0,1.0,
1200,246,1200,2100,0,0,0,1.0,
1200,249,1200,2100,2,2,0,1.0,
1200,125,1200,2100,1,1,0,0.0,
1200,4,1200,2100,0,0,0,,
1200,12,1200,2100,0,0,0,,
1200,13,1200,2100,1,1,0,,
1200,24,1200,2100,0,1,0,,
1200,41,1200,2100,1,1,0,,
1200,42,1200,2100,3,3,0,,
1200,45,1200,2100,2,2,0,,
1200,68,1200,2100,0,0,0,,
1200,74,1200,2100,0,0,0,,
1200,75,1200,2100,0,0,0,,
1200,88,1200,2100,0,4,0,,
1200,116,1200,2100,2,2,0,,
1200,120,1200,2100,2,2,0,,
1200,127,1200,2100,1,1,0,,
1200,128,1200,2100,0,0,0,,
1200,137,1200,2100,0,0,0,,
1200,140,1200,2100,0,0,0,,
1200,151,1200,2100,0,0,0,,
1200,152,1200,2100,1,2,0,,
1200,153,1200,2100,0,0,0,,
1200,194,1200,2100,1,1,0,,
1200,209,1200,2100,2,2,0,,
1200,211,1200,2100,1,1,0,,
1200,224,1200,2100,0,0,0,,
1200,231,1200,2100,1,1,0,,
1200,232,1200,2100,0,0,0,,
1200,233,1200,2100,2,2,0,,
1200,243,1200,2100,5,5,0,,
1200,244,1200,2100,0,0,0,,
1200,261,1200,2100,0,0,0,,
1200,263,1200,2100,1,1,0,,
1500,262,1500,2400,1,1,0,0.0,
1500,141,1500,2400,0,0,0,2.0,
1500,142,1500,2400,2,5,0,1.0,
1500,143,1500,2400,1,1,0,1.0,
1500,144,1500,2400,2,2,0,0.0,
1500,148,1500,2400,1,1,0,1.0,
1500,158,1500,2400,0,0,0,2.0,
1500,161,1500,2400,0,0,0,1.0,
1500,162,1500,2400,0,0,0,1.0,
1500,163,1500,2400,0,1,0,1.0,
1500,164,1500,2400,0,0,0,4.0,
1500,166,1500,2400,0,4,0,0.0,
1500,170,1500,2400,0,0,0,3.0,
1500,43,1500,2400,0,0,0,1.0,
1500,48,1500,2400,2,2,0,4.0,
1500,50,1500,2400,1,1,0,0.0,
1500,186,1500,2400,0,0,0,1.0,
1500,79,1500,2400,0,4,0,3.0,
